Sequence name,k (M^-1*min^-1),A,kA (M^-1*min^-1),molarBFOconcentration,F,[L-Phe] (ng/mL),[D-Phe] (ng/mL),[Phe] (ng/mL),% D-Phe,F_L,F_D
S-1A.1-a,133.10,0.8521,113.4,5E-05,0.0792,4.51,12.22,16.73,0.7305,0.0213,0.0579
S-1A.1-a,133.10,0.8521,113.4,5E-05,0.0792,4.17,11.91,16.08,0.7408,0.0205,0.0587
S-1A.1-a,133.10,0.8521,113.4,5E-05,0.0792,3.45,10.09,13.54,0.7450,0.0202,0.059
S-1A.1-a,133.10,0.8521,113.4,2E-04,0.2644,5.21,17.68,22.89,0.7724,0.0602,0.2042
S-1A.1-a,133.10,0.8521,113.4,2E-04,0.2644,5.49,17.67,23.16,0.7629,0.0627,0.2017
S-1A.1-a,133.10,0.8521,113.4,2E-04,0.2644,8.94,27.36,36.30,0.7537,0.0651,0.1993
S-1A.1-a,133.10,0.8521,113.4,5E-04,0.6464,7.39,23.57,30.96,0.7613,0.1543,0.4921
S-1A.1-a,133.10,0.8521,113.4,0.001,0.7669,10.95,19.61,30.56,0.6417,0.2748,0.4921
S-1A.1-a,133.10,0.8521,113.4,0.001,0.7669,5.18,14.45,19.63,0.7361,0.2024,0.5645
S-1A.1-a,133.10,0.8521,113.4,0.001,0.8232,1.00,7.30,8.30,0.8795,0.0992,0.724
S-1A.1-a,133.10,0.8521,113.4,0.001,0.7892,6.94,48.61,55.56,0.8750,0.0986,0.6906
S-1A.1-a,133.10,0.8521,113.4,0.001,0.7892,10.75,52.57,63.32,0.8302,0.134,0.6552
S-1A.1-a,133.10,0.8521,113.4,0.001,0.7892,7.18,63.15,70.33,0.8979,0.0806,0.7086
S-1A.1-n,18.25,0.4125,7.528,0.00025,0.1955,2.67,9.41,12.08,0.7790,0.0432,0.1523
S-1A.1-n,18.25,0.4125,7.528,5E-04,0.3121,5.41,19.47,24.88,0.7826,0.0679,0.2442
S-1A.1-n,18.25,0.4125,7.528,5E-04,0.3121,5.89,21.39,27.28,0.7841,0.0674,0.2447
S-1A.1-n,18.25,0.4125,7.528,5E-04,0.3121,5.46,22.33,27.79,0.8035,0.0613,0.2508
S-1B.1-a,70.79,0.8136,57.59,0.00025,0.5907,4.50,14.90,19.40,0.7680,0.137,0.4537
S-1B.1-a,70.79,0.8136,57.59,0.001,0.7814,1.67,6.02,7.69,0.7828,0.1697,0.6117
S-1B.1-a,70.79,0.8136,57.59,0.001,0.7814,1.60,6.21,7.81,0.7951,0.1601,0.6213
S-1B.1-a,70.79,0.8136,57.59,0.001,0.7814,1.59,6.04,7.63,0.7916,0.1628,0.6186
S-1B.2-a,60.93,0.6947,42.33,0.00025,0.2522,12.23,17.81,30.04,0.5929,0.1027,0.1495
S-1B.2-a,60.93,0.6947,42.33,0.001,0.6947,10.26,194.35,204.61,0.9499,0.0348,0.6599
S-1B.2-a,60.93,0.6947,42.33,0.001,0.6947,7.48,165.59,173.07,0.9568,0.03,0.6647
S-1B.2-a,60.93,0.6947,42.33,0.001,0.6947,10.28,214.58,224.86,0.9543,0.0318,0.6629
S-1B.3-a,109.14,0.8025,87.58,0.00025,0.5712,22.04,31.20,53.24,0.5860,0.2365,0.3347
S-1B.3-a,109.14,0.8025,87.58,0.001,0.8025,9.27,209.97,219.24,0.9577,0.0339,0.7686
S-1B.3-a,109.14,0.8025,87.58,0.001,0.8025,9.01,219.23,228.24,0.9605,0.0317,0.7708
S-1B.3-a,109.14,0.8025,87.58,0.001,0.8025,8.08,196.19,204.27,0.9604,0.0317,0.7708
S-1C.1-a,145.10,0.4728,68.60,0.00025,0.2494,5.58,11.44,17.02,0.6722,0.0818,0.1676
S-1C.1-a,145.10,0.4728,68.60,0.001,0.4722,2.60,11.10,13.70,0.8102,0.0896,0.3826
S-1C.1-a,145.10,0.4728,68.60,0.001,0.4722,3.56,15.36,18.92,0.8118,0.0888,0.3834
S-1C.1-a,145.10,0.4728,68.60,0.001,0.4722,1.91,10.49,12.40,0.8460,0.0727,0.3995
S-2.1-a,432.96,0.9995,432.7,5E-05,0.1846,10.24,8.45,18.70,0.4521,0.1011,0.0835
S-2.1-a,432.96,0.9995,432.7,5E-05,0.1846,8.85,8.21,17.06,0.4812,0.0958,0.0888
S-2.1-a,432.96,0.9995,432.7,5E-05,0.1846,11.21,7.34,18.55,0.3958,0.1115,0.0731
S-2.1-a,432.96,0.9995,432.7,2E-04,0.3744,22.07,8.54,30.61,0.2790,0.27,0.1044
S-2.1-a,432.96,0.9995,432.7,2E-04,0.3744,23.16,8.15,31.31,0.2604,0.2769,0.0975
S-2.1-a,432.96,0.9995,432.7,2E-04,0.3744,20.00,6.30,26.30,0.2394,0.2848,0.0896
S-2.1-a,432.96,0.9995,432.7,5E-04,0.6579,22.21,17.33,39.54,0.4383,0.3695,0.2884
S-2.1-a,432.96,0.9995,432.7,0.001,0.8041,4.38,5.73,10.11,0.5668,0.3484,0.4557
S-2.1-a,432.96,0.9995,432.7,0.001,0.8041,1.76,1.40,3.16,0.4430,0.4479,0.3562
S-2.1-a,432.96,0.9995,432.7,0.001,0.8041,5.78,7.40,13.18,0.5615,0.3526,0.4515
S-2.1-a,432.96,0.9995,432.7,0.001,0.7149,34.34,15.98,50.32,0.3176,0.4878,0.2271
S-2.1-a,432.96,0.9995,432.7,0.001,0.7149,41.21,9.18,50.39,0.1822,0.5846,0.1303
S-2.1-a,432.96,0.9995,432.7,0.001,0.7149,32.01,10.84,42.85,0.2530,0.5341,0.1808
S-2.1-t,237.60,0.2228,52.9,0.00025,0.6259,19.89,6.63,26.52,0.2500,0.4694,0.1565
S-2.1-t,237.60,0.2228,52.9,0.001,0.75457,9.92,1.52,11.43,0.1328,0.6543,0.1002
S-2.1-t,237.60,0.2228,52.9,0.001,0.75457,8.68,1.43,10.11,0.1416,0.6477,0.1068
S-2.1-t,237.60,0.2228,52.9,0.001,0.75457,8.31,1.63,9.94,0.1640,0.6308,0.1237
S-2.2-a,77.95,0.4380,34.14,0.00025,0.3304,68.40,8.73,77.13,0.1132,0.293,0.0374
S-2.2-a,77.95,0.4380,34.14,0.001,0.4255,11.67,0.52,12.19,0.0427,0.4073,0.0182
S-2.2-a,77.95,0.4380,34.14,0.001,0.4255,35.00,1.75,36.75,0.0476,0.4052,0.0203
S-2.2-a,77.95,0.4380,34.14,0.001,0.4255,33.10,1.88,34.98,0.0537,0.4026,0.0229
S-3.1-a,88.08,0.6978,61.46,0.00025,0.4421,104.87,38.47,143.34,0.2684,0.3234,0.1187
S-3.1-a,88.08,0.6978,61.46,0.001,0.6852,4.29,0.51,4.80,0.1063,0.6124,0.0728
S-3.1-a,88.08,0.6978,61.46,0.001,0.6852,17.35,2.04,19.39,0.1052,0.6131,0.0721
S-3.1-a,88.08,0.6978,61.46,0.001,0.6852,17.19,1.97,19.16,0.1028,0.6147,0.0705
P4-1,306.58,0.6363,195.1,5E-04,0.0776,6.84,6.54,13.38,0.4888,0.0397,0.0379
P4-1,306.58,0.6363,195.1,0.001,0.118,3.72,1.90,5.62,0.3381,0.0781,0.0399
P4-1,306.58,0.6363,195.1,0.001,0.118,3.13,2.66,5.79,0.4594,0.0638,0.0542
P4-2,267.31,0.6260,167.3,5E-04,0.0838,9.75,8.97,18.72,0.4792,0.0436,0.0402
P4-2,267.31,0.6260,167.3,0.001,0.134,4.20,2.85,7.05,0.4043,0.0798,0.0542
P4-2,267.31,0.6260,167.3,0.001,0.134,4.55,4.05,8.60,0.4709,0.0709,0.0631
P4-2,267.31,0.6260,167.3,0.001,0.134,5.01,3.63,8.64,0.4201,0.0777,0.0563
P4-3,509.38,0.2218,113.0,5E-04,0.1096,6.15,4.30,10.45,0.4115,0.0645,0.0451
P4-3,509.38,0.2218,113.0,0.001,0.1474,5.65,3.94,9.59,0.4108,0.08684150156,0.06055849844
P4-3,509.38,0.2218,113.0,0.001,0.1474,5.66,2.88,8.54,0.3372,0.09769133489,0.04970866511
P4-3,509.38,0.2218,113.0,0.001,0.1474,6.22,3.22,9.44,0.3411,0.09712161017,0.05027838983
P2-4,381.89,0.4170,159.2,5E-04,0.3871,13.13,4.38,17.51,0.2501,0.2902697316,0.09683026842
P2-4,381.89,0.4170,159.2,0.001,0.4708,21.96,4.00,25.96,0.1541,0.3982576271,0.07254237288
P2-4,381.89,0.4170,159.2,0.001,0.4708,18.90,4.47,23.37,0.1913,0.3807496791,0.09005032092
P2-4,381.89,0.4170,159.2,0.001,0.4708,22.28,3.59,25.87,0.1388,0.4054667182,0.06533328179
P1-5,185.27,0.3245,60.12,5E-04,0.1995,20.80,4.10,24.90,0.1647,0.1666506024,0.03284939759
P1-5,185.27,0.3245,60.12,0.001,0.308,43.90,6.61,50.51,0.1309,0.267693526,0.04030647397
P1-5,185.27,0.3245,60.12,0.001,0.308,44.65,7.39,52.04,0.1420,0.2642621061,0.04373789393
P1-5,185.27,0.3245,60.12,0.001,0.308,52.44,8.27,60.71,0.1362,0.2660438149,0.04195618514