1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,3,6,5,7,7,13,12,11,12,12,11,11,12,12
3,0,8,5,9,6,15,14,13,13,14,13,13,13,12
6,8,0,5,4,10,13,13,10,14,12,12,12,11,11
5,5,5,0,5,7,13,13,12,12,13,13,12,12,13
7,9,4,5,0,11,14,14,13,12,13,13,13,14,14
7,6,10,7,11,0,13,13,12,12,13,12,12,12,12
13,15,13,13,14,13,0,1,5,13,1,2,3,4,5
12,14,13,13,14,13,1,0,5,13,2,1,2,3,4
11,13,10,12,13,12,5,5,0,12,4,4,3,2,3
12,13,14,12,12,12,13,13,12,0,12,13,12,13,14
12,14,12,13,13,13,1,2,4,12,0,1,2,3,4
11,13,12,13,13,12,2,1,4,13,1,0,1,2,3
11,13,12,12,13,12,3,2,3,12,2,1,0,1,2
12,13,11,12,14,12,4,3,2,13,3,2,1,0,1
12,12,11,13,14,12,5,4,3,14,4,3,2,1,0